Court	FY1999	FY2000	FY2001	FY2002	FY2003	FY2004	FY2005	FY2006	FY2007	FY2008	Cases
First	1323	1365	1515	1758	1573	1643	1888	2027	1752	1776	16620
Second	4245	4829	4175	4206	4262	4611	6501	8969	7228	6434	55460
Third	3199	3162	3594	3784	3801	3787	4268	4157	4066	3990	37808
Fourth	5149	4710	5078	5074	4668	4713	4754	5628	4900	4671	49345
Fifth	8593	8535	8784	8390	9135	8100	7496	8881	9578	8086	85578
Sixth	4800	5090	4691	4878	4557	4655	5232	5172	4962	4781	48818
Seventh	3444	3601	3616	3293	3390	3294	3706	3803	3280	3281	34708
Eighth	3280	3280	3414	3180	2896	2916	3287	3618	2988	3103	31962
Ninth	8402	9216	10372	10042	11220	12151	13399	13424	13600	12373	114199
Tenth	2754	2737	2792	2543	2627	2448	2708	3018	2680	2385	26692
Eleventh	7244	8405	8000	8135	7085	6908	7578	7690	6503	6931	74479
District of Columbia	1655	1582	1391	1303	1182	1155	1158	1195	1309	1285	13215
Federal	1410	1518	1500	1357	1575	1836	1662	1460	1718	1745	15781
Annual Totals	55498	58030	58922	57943	57971	58217	63637	69042	64564	60841	604665
