Court	Disposition	FY1999	FY2000	FY2001	FY2002	FY2003	FY2004	FY2005	FY2006	FY2007	FY2008	Cases
First	Reversed	0	2	0	0	0	3	0	0	1	2	8
First	Vacated	0	0	0	0	0	1	1	0	0	0	2
First	Affirmed	1	0	1	1	0	0	1	1	1	2	8
Second	Reversed	3	3	4	3	2	2	6	3	1	11	38
Second	Vacated	0	0	0	0	0	0	2	0	1	0	3
Second	Affirmed	0	6	0	0	0	0	1	2	5	2	16
Third	Reversed	0	3	0	0	2	3	3	1	0	0	12
Third	Vacated	0	0	1	0	1	0	0	0	0	1	3
Third	Affirmed	1	3	0	0	1	1	0	0	0	1	7
Fourth	Reversed	4	2	6	3	0	2	3	0	1	3	24
Fourth	Vacated	0	0	2	0	1	0	0	1	1	1	6
Fourth	Affirmed	4	3	4	0	3	1	2	1	1	0	19
Fifth	Reversed	6	2	1	3	6	4	1	4	3	3	33
Fifth	Vacated	0	1	0	0	1	1	0	0	1	0	4
Fifth	Affirmed	4	3	0	0	0	2	1	1	1	2	14
Sixth	Reversed	3	5	9	7	4	6	1	5	1	4	45
Sixth	Vacated	0	0	0	0	0	0	4	0	1	1	6
Sixth	Affirmed	1	2	1	2	2	5	2	3	1	0	19
Seventh	Reversed	6	2	0	3	2	1	2	1	0	1	18
Seventh	Vacated	0	0	0	1	0	0	1	1	0	0	3
Seventh	Affirmed	2	2	2	1	2	1	0	1	6	0	17
Eighth	Reversed	1	1	7	0	5	1	1	3	2	1	22
Eighth	Vacated	0	0	1	1	0	2	0	0	1	1	6
Eighth	Affirmed	4	2	1	0	1	1	2	1	1	0	13
Ninth	Reversed	8	9	11	9	15	11	10	12	6	16	107
Ninth	Vacated	1	2	3	7	3	4	2	6	4	1	33
Ninth	Affirmed	1	4	5	7	6	3	3	2	3	1	35
Tenth	Reversed	1	3	3	1	3	3	1	2	1	2	20
Tenth	Vacated	0	0	0	0	0	0	0	0	1	0	1
Tenth	Affirmed	1	1	1	0	0	0	3	1	0	0	7
Eleventh	Reversed	2	3	5	2	2	5	4	2	3	0	28
Eleventh	Vacated	0	0	0	0	2	0	0	0	0	0	2
Eleventh	Affirmed	3	0	0	2	0	6	1	3	2	3	20
District of Columbia	Reversed	0	2	2	0	2	0	2	1	2	2	13
District of Columbia	Vacated	0	0	0	2	2	0	0	0	3	0	7
District of Columbia	Affirmed	3	0	2	3	0	0	0	1	2	0	11
Federal	Reversed	2	1	1	1	1	0	1	3	3	5	18
Federal	Vacated	0	1	3	0	0	1	2	0	0	0	7
Federal	Affirmed	0	0	1	1	0	1	0	1	1	0	5
Annual Totals		62	68	77	60	69	71	63	63	61	66	660
